"Location";"Source"
"152988005-186-1";"Sao Tome and Principe"
"152988005-187-1";"Saudi Arabia"
"152988005-188-1";"Senegal"
"152988005-189-1";"Serbia"
"152988005-190-1";"Seychelles"
"152988005-191-1";"Sierra Leone"
"152988005-192-1";"Singapore"
"152988005-193-1";"Sint Maarten"
"152988005-194-1";"Slovakia"
"152988005-195-1";"Slovenia"
"152988005-196-1";"Solomon Islands"
"152988005-197-1";"Somalia"
"152988005-198-1";"South Africa"
"152988005-199-1";"South Georgia"
"152988005-200-1";"South Korea"
"152988005-201-1";"Spain"
"152988005-202-1";"Sri Lanka"
"152988005-203-1";"Suriname"
"152988005-204-1";"Svalbard and Jan Mayen"
"152988005-205-1";"Swaziland"
"152988005-206-1";"Sweden"
"152988005-207-1";"Switzerland"
"152988005-208-1";"Taiwan"
"152988005-209-1";"Tajikistan"
"152988005-210-1";"Tanzania"
"152988005-211-1";"Thailand"
"152988005-212-1";"Togo"
"152988005-213-1";"Tokelau"
"152988005-214-1";"Tonga"
"152988005-215-1";"Trinidad and Tobago"
"152988005-216-1";"Tunisia"
"152988005-217-1";"Turkey"
"152988005-218-1";"Turkmenistan"
"152988005-219-1";"Turks and Caicos Islands"
"152988005-220-1";"Tuvalu"
"152988005-221-1";"U.S. Virgin Islands"
"152988005-222-1";"Uganda"
"152988005-223-1";"Ukraine"
"152988005-224-1";"United Arab Emirates"
"152988005-225-1";"United Kingdom"
"152988005-226-1";"United States"
"152988005-227-1";"Uruguay"
"152988005-228-1";"Uzbekistan"
"152988005-229-1";"Vanuatu"
"152988005-230-1";"Vatican City"
"152988005-231-1";"Venezuela"
"152988005-232-1";"Vietnam"
"152988005-233-1";"Wallis and Futuna"
"152988005-234-1";"Yemen"
"152988005-235-1";"Zambia"
"152988005-236-1";"Zimbabwe"
