"Location";"Source"
"140761092-0-11";"|t80%:80%:EsoUI/Art/Tribute/Mechanics/tributeMechanicCardDisplay_gainResources_1.dds|t Gain |cffffff1|r Coin."
"140761092-0-30";"|t80%:80%:EsoUI/Art/Tribute/Mechanics/tributeMechanicCardDisplay_acquireAndGiveCopy.dds|t Bargain - Acquire a non-contract card from the Tavern. Opponent gains a copy of acquired card."
"140761092-0-32";"|t80%:80%:EsoUI/Art/Tribute/Mechanics/tributeMechanicCardDisplay_acquireAndGiveCopy.dds|t Bargain - Acquire a non-contract card from the Tavern. Opponent gains a copy of acquired card."
